brand*,agentID*,agentPassword*,firstName*,lastName*,company*,jobRole,jobLevel,timezone,timezoneCIty,address1*,address2,city*,state,zip*,phone*,email*,privacyStatement*
https://1-qav.tb1.rcdnlab1.com,var1,Test1234,Max,Aaron,Arby's,Account Manager,Administrator, ETC,UCT,100 E Wallace Kneeland Blvd,,Shelton,WA,98584,7901002000,var1@mail.aws.rcdnlab1.com,yes
https://1-qav.tb1.rcdnlab1.com,var2,Test1234,Maria,Adela,Burger King,Administrator,CEO / Managing Director, ETC,GMT-14,100 N Highway 175,,Seagoville,TX,75159,7901002001,var2@mail.aws.rcdnlab1.com,yes
https://1-qav.tb1.rcdnlab1.com,var3,Test1234,Casey,Affleck,Carl's Jr.,Business Development,CEO / Finance Director, ETC,GMT-13,1000 Commerce St,,Dallas,TX,75202,7901002002,var3@mail.aws.rcdnlab1.com,yes
https://1-qav.tb1.rcdnlab1.com,var4,Test1234,August,Affleck,Charley's Grilled Subs,Consultant/Contractor,CIO / IT Director, ETC,GMT-12,1001 Highway 287 N,,Mansfield,TX,76063,7901002003,var4@mail.aws.rcdnlab1.com,yes
https://1-qav.tb1.rcdnlab1.com,var5,Test1234,Ben,Affleck,Chili's,Customer Service,CXO / Executive, ETC,GMT-11,1001 W Stevens St,,Van Alstyne,TX,75495,7901002004,var5@mail.aws.rcdnlab1.com,yes
https://1-qav.tb1.rcdnlab1.com,var6,Test1234,Seraphina,Affleck,Chipotle Mexican Grill,E-Commerce,Director / Senior Manager, ETC,GMT-10,101 E State Highway 114,,Southlake,TX,76092,7901002005,var6@mail.aws.rcdnlab1.com,yes
https://1-qav.tb1.rcdnlab1.com,var7,Test1234,Rose,Affleck,Corner Bakery Cafe,Engineering,Individual Contributor, ETC,GMT-9,101 L R Campbell Rd,,Italy,TX,76651,7901002006,var7@mail.aws.rcdnlab1.com,yes
https://1-qav.tb1.rcdnlab1.com,var8,Test1234,Rocko,Akira,Dlifrance,Executive Management,Management with Staff, ETC,GMT-8,10124 Edmonds Way,,Edmonds,WA,98020,7901002007,var8@mail.aws.rcdnlab1.com,yes
https://1-qav.tb1.rcdnlab1.com,var9,Test1234,Jack,Albertson,Denny's,Finance/Accounting,Management without Staff, ETC,GMT-7,10125  SE 256th St,,Kent,WA,98030,7901002008,var9@mail.aws.rcdnlab1.com,yes
https://1-qav.tb1.rcdnlab1.com,var10,Test1234,Cedric,Albertson,Dome,HR/Recruitment,Vice President, ETC,GMT-6,102 E Us Highway 80,,Forney,TX,75126,7901002009,var10@mail.aws.rcdnlab1.com,yes
https://1-qav.tb1.rcdnlab1.com,var11,Test1234,Doreen,Alderman,Domino's Pizza,Journalism,Administrator, ETC,GMT-5,102 W Pioneer Pkwy,,Grand Prairie,TX,75051,7901002010,var11@mail.aws.rcdnlab1.com,yes
https://1-qav.tb1.rcdnlab1.com,var12,Test1234,Shaun,Alexander,Gloria Jean's Coffees,Legal,CEO / Managing Director, ETC,GMT-4,103 W Princeton Dr,,Princeton,TX,75407,7901002011,var12@mail.aws.rcdnlab1.com,yes
https://1-qav.tb1.rcdnlab1.com,var13,Test1234,Valerie,Alexander,Hard Rock Cafe,Logistics,CEO / Finance Director, ETC,GMT-3,104 Central Expy S,,Allen,TX,75013,7901002012,var13@mail.aws.rcdnlab1.com,yes
https://1-qav.tb1.rcdnlab1.com,var14,Test1234,Joseph,Alexander,Hardee's,MIS/IT,CIO / IT Director, ETC,GMT-2,104 W Main St,,Mabank,TX,75156,7901002013,var14@mail.aws.rcdnlab1.com,yes
https://1-qav.tb1.rcdnlab1.com,var15,Test1234,Prince,Alexander,IN-N-OUT Burger,MIS/IT - Applications Dev,CXO / Executive, ETC,GMT-1,10417 S Tacoma Way,,Lakewood,WA,98499,7901002014,var15@mail.aws.rcdnlab1.com,yes
