Brand,BrandLogin,BrandPassword,FeaturePack,DeviceIP,DeviceMAC,DevicePassword,CustomerName,Edit-CustomerName,Email,Edit-Email,EmailDomain,Edit-EmailDomain,FirstName,Edit-FirstName,LastName,Edit-LastName,StreetAddress,Edit-StreetAddress,Industry,Edit-Industry,City,Edit-City,State,Edit-State,Zip,Edit-Zip,Country,Edit-Country,Edit-Timezone,Edit-TimezoneCity,AddContact,Notifications-Severity,Edit-Notifications-Severity,Reports-ReportType,Reports-ReportFormat,Reports-Customer,Reports-CoverPageNotes,Reports-Frequency,Reports-StartDate,Reports-EndDate,Reports-ScheduleStartDate,Reports-ScheduleEndDate,Reports-Notify,Reports-ReportRecipient,Reports-RecipientEmail,Reports-RecipientEmailDomain,Reports-EmailMessage,Reports-PartneredCustomers,Reports-NonPartneredCustomers,Reports-ConnectionSummary,Reports-CustomerAddress,Reports-CustomerContacts,Reports-DeviceCategories,Reports-DeviceSummary,Reports-DeviceDetails,Reports-MarketShare,Reports-Severity,Reports-EmergencyEvents,Reports-AlertEvents,Reports-CriticalEvents,Reports-ErrorEvents,Reports-WarningEvents,Reports-NoticeEvents,Reports-InformationalEvents,Reports-CustomerInformation,Reports-DeviceStatus,Reports-InternetConnectivity,Reports-MonitoredNetwork,Reports-NetworkEvents,Reports-TransmittedNotificationEvents,Reports-InhibitedNotificationEvents,Reports-RetransmittedNotificationEvents,Reports-RemoveFrequency,FeedbackCategory,FeedbackMessage
https://www.t5.l1.cisco.com,jearnold1,Test1234,10k,192.168.75.105,,123123,Test 1,PSP Automation test 1,a0,c0,@rcdn4test-301.cisco.com,@rcdn4test-301.cisco.com,John,a,Smith,a,2200 E. George Bush Hwy,123 main st.,Insurance,Healthcare,Richardson,a,TX,a,75080,1,Albania,USA,America,Atikokan,no,Notice,Warning,Customer Report,PDF,PSP Automation test 1,PSP Automation test 1 PDF,Now,1/1/2011,1/5/2011,,,no,-,,,,yes,yes,yes,yes,yes,yes,no,yes,no,Critical,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every day,Website Overall,"This is a test feedback message, we can write some random stuff in here now COMMAS welcome =)"
,,,,192.168.75.106,f0:ad:4e:00:54:76,123123,Test 2,PSP Automation test 2,a1,c1,@rcdn4test-301.cisco.com,@rcdn4test-301.cisco.com,Bob,b,Something,a,2201 E. George Bush Hwy,123 sub st.,Retail,Insurance,Richardson,b,TX,b,75080,2,Antarctica,Togo,Africa,Banjul,no,Warning,Error,Customer Inventory,CSV,PSP Automation test 2,PSP Automation test 2 CSV,Every Week,,,1/2/2012,5/5/2015,no,-,,,,yes,yes,yes,yes,yes,yes,yes,yes,no,Critical,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,Log In / Registration,"This is a test feedback message, we can write some random stuff in here now COMMAS welcome =)"
,,,,,,123123,Test 3,PSP Automation test 3,a2,c2,@rcdn4test-301.cisco.com,@rcdn4test-301.cisco.com,Tylor,c,Testing,a,2202 E. George Bush Hwy,123 belt line st.,Consumer products,Retail,Richardson,c,TX,c,75080,3,Austria,Togo,Antarctica,Palmer,no,Error,Critical,Event History (filter by severity),XHTML,PSP Automation test 3,PSP Automation test 3 XHTML,Now,1/3/2012,1/5/2012,,,no,-,,,,yes,yes,yes,yes,yes,no,yes,yes,no,Critical,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,Account Activation,"This is a test feedback message, we can write some random stuff in here now COMMAS welcome =)"
,,,,,,123123,Test 4,PSP Automation test 4,a3,c3,@rcdn4test-301.cisco.com,@rcdn4test-301.cisco.com,Ryan,d,Anyways,a,2203 E. George Bush Hwy,124 main st.,Financial services,Consumer products,Richardson,d,TX,d,75080,4,Bouvet Island,USA,Arctic,Longyearbyen,no,Critical,Alert,Executive Summary,PDF,PSP Automation test 4,PSP Automation test 4 PDF,Now,1/2/2011,1/6/2011,,,no,-,,,,yes,yes,yes,yes,yes,yes,no,yes,no,Critical,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,Password Issues,"This is a test feedback message, we can write some random stuff in here now COMMAS welcome =)"
,,,,,,123123,Test 5,PSP Automation test 5,a4,c4,@rcdn4test-301.cisco.com,@rcdn4test-301.cisco.com,Jerry,e,What,a,2204 E. George Bush Hwy,124 sub st.,Utilities,Financial services,Richardson,e,TX,e,75080,5,Egypt,Togo,Asia,Brunei,no,Alert,Emergency,Notification History,CSV,PSP Automation test 5,PSP Automation test 5 CSV,Every Week,,,1/5/2012,No end Date,no,-,,,,yes,yes,yes,yes,yes,yes,yes,yes,no,Critical,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,"Products, Services, and Solutions","This is a test feedback message, we can write some random stuff in here now COMMAS welcome =)"
,,,,,,123123,Test 6,PSP Automation test 6,a5,c5,@rcdn4test-301.cisco.com,@rcdn4test-301.cisco.com,James,f,If,a,2205 E. George Bush Hwy,124 belt line st.,Primary products,Utilities,Richardson,f,TX,f,75080,6,Honduras,Togo,Atlantic,Azores,no,Emergency,Informational,Customer Report,XHTML,PSP Automation test 6,PSP Automation test 6 XHTML,Every Month,,,1/6/2012,5/7/2015,no,-,,,,yes,yes,yes,yes,yes,no,yes,yes,no,Critical,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,Technical Documentation,"This is a test feedback message, we can write some random stuff in here now COMMAS welcome =)"
,,,,,,123123,Test 7,PSP Automation test 7,a6,c6,@rcdn4test-301.cisco.com,@rcdn4test-301.cisco.com,Joe,g,It,a,2206 E. George Bush Hwy,125 main st.,Professional services,Primary products,Richardson,g,TX,g,75080,7,Mauritania,USA,Australia,Lindeman,no,Informational,Debug,Customer Inventory,PDF,PSP Automation test 7,PSP Automation test 7 PDF,Now,1/3/2011,1/7/2011,,,no,-,,,,yes,yes,yes,yes,yes,yes,no,yes,no,Critical,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,Enhancement Request,"This is a test feedback message, we can write some random stuff in here now COMMAS welcome =)"
,,,,,,123123,Test 8,PSP Automation test 8,a7,c7,@rcdn4test-301.cisco.com,@rcdn4test-301.cisco.com,John,h,Matters,a,2207 E. George Bush Hwy,125 sub st.,Chemicals and petroleum,Professional services,Richardson,h,TX,h,75080,8,Slovakia,Togo,Etc,GMT+5,no,Debug,Notice,Event History (filter by severity),CSV,PSP Automation test 8,PSP Automation test 8 CSV,Every Week,,,1/8/2012,5/8/2015,no,-,,,,yes,yes,yes,yes,yes,yes,yes,yes,no,Critical,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,Other,"This is a test feedback message, we can write some random stuff in here now COMMAS welcome =)"
,,,,,,123123,Test 9,PSP Automation test 9,a8,c8,@rcdn4test-301.cisco.com,@rcdn4test-301.cisco.com,Kim,i,Oh,a,2208 E. George Bush Hwy,125 belt line st.,Federal government,Chemicals and petroleum,Richardson,i,TX,i,75080,9,Senegal,Togo,Europe,Gibraltar,no,Notice,Warning,Executive Summary,XHTML,PSP Automation test 9,PSP Automation test 9 XHTML,Every Month,,,1/9/2012,No end Date,no,-,,,,yes,yes,yes,yes,yes,no,yes,yes,no,Critical,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,
,,,,,,123123,Test 10,PSP Automation test 10,a9,c9,@rcdn4test-301.cisco.com,@rcdn4test-301.cisco.com,Tom,j,Well,a,2209 E. George Bush Hwy,126 main st.,Healthcare,Federal government,Richardson,j,TX,j,75080,10,Tokelau,USA,Indian,Cocos,no,Warning,Notice,Notification History,PDF,PSP Automation test 10,PSP Automation test 10 PDF,Now,1/4/2011,1/8/2011,,,no,-,,,,yes,yes,yes,yes,yes,yes,no,yes,no,Critical,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,
