Brand,BrandLogin,BrandPassword,DeviceIP,ActivationID,ActivationPassword,CustomerName,Email,EmailDomain,FirstName,LastName,StreetAddress,Industry,City,State,Zip,Country,AddContact,Reports-ReportType,Reports-ReportFormat,Reports-Customer,Reports-CoverPageNotes,Reports-PartneredCustomers,Reports-NonPartneredCustomers,Reports-ConnectionSummary,Reports-CustomerAddress,Reports-CustomerContacts,Reports-DeviceCategories,Reports-DeviceSummary,Reports-DeviceDetails,Reports-MarketShare,Reports-Severity,Reports-EmergencyEvents,Reports-AlertEvents,Reports-CriticalEvents,Reports-ErrorEvents,Reports-WarningEvents,Reports-NoticeEvents,Reports-InformationalEvents,Reports-EventHistoryEventGlossary,Reports-CustomerInformation,Reports-DeviceStatus,Reports-InternetConnectivity,Reports-MonitoredNetwork,Reports-NetworkEvents,Reports-TransmittedNotificationEvents,Reports-InhibitedNotificationEvents,Reports-RetransmittedNotificationEvents,Reports-NotificationHistoryEventGlossary,Reports-Frequency,Reports-StartDate,Reports-EndDate,Reports-ScheduleStartDate,Reports-ScheduleEndDate,Reports-Notify,Reports-ReportRecipient,Reports-RecipientEmail,Reports-RecipientEmailDomain,Reports-EmailMessage
https://1-qa.t4.l1.cisco.com,nhuhoang1,Test1234,192.168.101.198,83433.361,123123,uc101,c1,@www.qa7.l1.cisco.com,a,a,Street101,a,City101,State101,75082-101,USA,yes,Customer Inventory,XHTML,UC 101,Customer Inventory xhtml - 101,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,a a (UC 101),c1,@www.qa7.l1.cisco.com,report inventory xhtml 101
,,,192.168.102.232,45763.361,123123,uc102,c2,@www.qa7.l1.cisco.com,b,a,Street102,b,City102,State102,75082-102,USA,yes,Customer Inventory,XHTML,UC 102,Customer Inventory xhtml - 102,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,b a (UC 102),c2,@www.qa7.l1.cisco.com,report inventory xhtml 102
,,,192.168.103.148,76892.361,123123,uc103,c3,@www.qa7.l1.cisco.com,c,a,Street103,c,City103,State103,75082-103,USA,yes,Customer Inventory,XHTML,UC 103,Customer Inventory xhtml - 103,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,c a (UC 103),c3,@www.qa7.l1.cisco.com,report inventory xhtml 103
,,,192.168.104.235,99378.361,123123,uc104,c4,@www.qa7.l1.cisco.com,d,a,Street104,d,City104,State104,75082-104,USA,yes,Customer Inventory,XHTML,UC 104,Customer Inventory xhtml - 104,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,d a (UC 104),c4,@www.qa7.l1.cisco.com,report inventory xhtml 104
,,,192.168.105.75,78596.361,123123,uc105,c5,@www.qa7.l1.cisco.com,e,a,Street105,e,City105,State105,75082-105,USA,yes,Customer Inventory,XHTML,UC 105,Customer Inventory xhtml - 105,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,e a (UC 105),c5,@www.qa7.l1.cisco.com,report inventory xhtml 105
,,,192.168.106.239,70382.361,123123,uc106,c6,@www.qa7.l1.cisco.com,f,a,Street106,f,City106,State106,75082-106,USA,yes,Customer Inventory,XHTML,UC 106,Customer Inventory xhtml - 106,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,f a (UC 106),c6,@www.qa7.l1.cisco.com,report inventory xhtml 106
,,,192.168.107.12,92008.361,123123,uc107,c7,@www.qa7.l1.cisco.com,g,a,Street107,g,City107,State107,75082-107,USA,yes,Customer Inventory,XHTML,UC 107,Customer Inventory xhtml - 107,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,g a (UC 107),c7,@www.qa7.l1.cisco.com,report inventory xhtml 107
,,,192.168.108.112,35475.361,123123,uc108,c8,@www.qa7.l1.cisco.com,h,a,Street108,h,City108,State108,75082-108,USA,yes,Customer Inventory,XHTML,UC 108,Customer Inventory xhtml - 108,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,h a (UC 108),c8,@www.qa7.l1.cisco.com,report inventory xhtml 108
,,,192.168.109.25,19801.361,123123,uc109,c9,@www.qa7.l1.cisco.com,i,a,Street109,i,City109,State109,75082-109,USA,yes,Customer Inventory,XHTML,UC 109,Customer Inventory xhtml - 109,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,i a (UC 109),c9,@www.qa7.l1.cisco.com,report inventory xhtml 109
,,,192.168.110.58,38058.361,123123,uc110,c10,@www.qa7.l1.cisco.com,j,a,Street110,j,City110,State110,75082-110,USA,yes,Customer Inventory,XHTML,UC 110,Customer Inventory xhtml - 110,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,j a (UC 110),c10,@www.qa7.l1.cisco.com,report inventory xhtml 110
