Brand,BrandLogin,BrandPassword,AgentID,AgentPassword,FirstName,LastName,Company,JobRole,JobLevel,Timezone,TimezoneCity,Address1,Address2,City,State,Zip,Email,EmailDomain,Phone
https://1-qa.t4.l1.cisco.com,1-qa.t4.l1.cisco.com,123test,var1,Test1234,Max,Aaron,Arby's,Account Manager,Administrator, Etc,UCT,100 E Wallace Kneeland Blvd,,Shelton,WA,98584,var1,@www.qa7.l1.cisco.com,7901000001
https://1-qa.t4.l1.cisco.com,1-qa.t4.l1.cisco.com,123test,var2,Test1234,Maria,Adela,Burger King,Administrator,CEO / Managing Director, Etc,GMT-14,100 N Highway 175,,Seagoville,TX,75159,var2,@www.qa7.l1.cisco.com,7901000002
https://1-qa.t4.l1.cisco.com,1-qa.t4.l1.cisco.com,123test,var3,Test1234,Casey,Affleck,Carl's Jr.,Business Development,CFO / Finance Director, Etc,GMT-13,1000 Commerce St,,Dallas,TX,75202,var3,@www.qa7.l1.cisco.com,7901000003
https://1-qa.t4.l1.cisco.com,1-qa.t4.l1.cisco.com,123test,var4,Test1234,August,Affleck,Charley's Grilled Subs,Consultant/Contractor,CIO / IT Director, Etc,GMT-12,1001 Highway 287 N,,Mansfield,TX,76063,var4,@www.qa7.l1.cisco.com,7901000004
https://1-qa.t4.l1.cisco.com,1-qa.t4.l1.cisco.com,123test,var5,Test1234,Ben,Affleck,Chili's,Customer Service,CXO / Executive, Etc,GMT-11,1001 W Stevens St,,Van Alstyne,TX,75495,var5,@www.qa7.l1.cisco.com,7901000005
https://1-qa.t4.l1.cisco.com,1-qa.t4.l1.cisco.com,123test,var6,Test1234,Seraphina,Affleck,Chipotle Mexican Grill,E-Commerce,Director / Senior Manager, Etc,GMT-10,101 E State Highway 114,,Southlake,TX,76092,var6,@www.qa7.l1.cisco.com,7901000006
https://1-qa.t4.l1.cisco.com,1-qa.t4.l1.cisco.com,123test,var7,Test1234,Rose,Affleck,Corner Bakery Cafe,Engineering,Individual Contributor, Etc,GMT-9,101 L R Campbell Rd,,Italy,TX,76651,var7,@www.qa7.l1.cisco.com,7901000007
https://1-qa.t4.l1.cisco.com,1-qa.t4.l1.cisco.com,123test,var8,Test1234,Rocko,Akira,DÇlifrance,Executive Management,Management with Staff, Etc,GMT-8,10124 Edmonds Way,,Edmonds,WA,98020,var8,@www.qa7.l1.cisco.com,7901000008
https://1-qa.t4.l1.cisco.com,1-qa.t4.l1.cisco.com,123test,var9,Test1234,Jack,Albertson,Denny's,Finance/Accounting,Management without Staff, Etc,GMT-7,10125  SE 256th St,,Kent,WA,98030,var9,@www.qa7.l1.cisco.com,7901000009
https://1-qa.t4.l1.cisco.com,1-qa.t4.l1.cisco.com,123test,var10,Test1234,Cedric,Albertson,Dome,HR/Recruitment,Vice President, Etc,GMT-6,102 E Us Highway 80,,Forney,TX,75126,var10,@www.qa7.l1.cisco.com,7901000010
https://1-qa.t4.l1.cisco.com,1-qa.t4.l1.cisco.com,123test,var11,Test1234,Doreen,Alderman,Domino's Pizza,Journalism,Administrator, Etc,GMT-5,102 W Pioneer Pkwy,,Grand Prairie,TX,75051,var11,@www.qa7.l1.cisco.com,7901000011
https://1-qa.t4.l1.cisco.com,1-qa.t4.l1.cisco.com,123test,var12,Test1234,Shaun,Alexander,Gloria Jean's Coffees,Legal,CEO / Managing Director, Etc,GMT-4,103 W Princeton Dr,,Princeton,TX,75407,var12,@www.qa7.l1.cisco.com,7901000012
https://1-qa.t4.l1.cisco.com,1-qa.t4.l1.cisco.com,123test,var13,Test1234,Valerie,Alexander,Hard Rock Cafe,Logistics,CFO / Finance Director, Etc,GMT-3,104 Central Expy S,,Allen,TX,75013,var13,@www.qa7.l1.cisco.com,7901000013
https://1-qa.t4.l1.cisco.com,1-qa.t4.l1.cisco.com,123test,var14,Test1234,Joseph,Alexander,Hardee's,MIS/IT,CIO / IT Director, Etc,GMT-2,104 W Main St,,Mabank,TX,75156,var14,@www.qa7.l1.cisco.com,7901000014
https://1-qa.t4.l1.cisco.com,1-qa.t4.l1.cisco.com,123test,var15,Test1234,Prince,Alexander,IN-N-OUT Burger,MIS/IT - Applications Dev,CXO / Executive, Etc,GMT-1,10417 S Tacoma Way,,Lakewood,WA,98499,var15,@www.qa7.l1.cisco.com,7901000015
https://1-qa.t4.l1.cisco.com,1-qa.t4.l1.cisco.com,123test,var16,Test1234,Jack,Alexander,Jack Astor's Bar & Grill,MIS/IT - Data Center,Director / Senior Manager, Etc,GMT+1,10444 Silverdale Way  NW,,Silverdale,WA,98383,var16,@www.qa7.l1.cisco.com,7901000016
https://1-qa.t4.l1.cisco.com,1-qa.t4.l1.cisco.com,123test,var17,Test1234,Ocean,Alexander,Jack in the Box,MIS/IT - Operations,Individual Contributor, Etc,GMT+2,105 Airport Fwy,,Euless,TX,76040,var17,@www.qa7.l1.cisco.com,7901000017
https://1-qa.t4.l1.cisco.com,1-qa.t4.l1.cisco.com,123test,var18,Test1234,Tim,Allen,Jollibee,MIS/IT - Security,Management with Staff, Etc,Zulu,105 S Coit Rd,,Richardson,TX,75080,var18,@www.qa7.l1.cisco.com,7901000018
https://1-qa.t4.l1.cisco.com,1-qa.t4.l1.cisco.com,123test,var19,Test1234,Jane,Allen,The Keg,MIS/IT - Storage,Management without Staff, Etc,Greenwich,105 W Airport Fwy,,Bedford,TX,76021,var19,@www.qa7.l1.cisco.com,7901000019
https://1-qa.t4.l1.cisco.com,1-qa.t4.l1.cisco.com,123test,var20,Test1234,Elizabeth,Allen,Kenny Rogers Roasters,MIS/IT - Telecom,Vice President, Etc,GMT-0,1050 W Frankford Rd,,Carrollton,TX,75007,var20,@www.qa7.l1.cisco.com,7901000020
https://1-qa.t4.l1.cisco.com,1-qa.t4.l1.cisco.com,123test,var21,Test1234,Woody,Allen,KFC,Manufacturing,Administrator, Etc,GMT+0,10510 Quil Ceda Blvd,,Marysville,WA,98271,var21,@www.qa7.l1.cisco.com,7901000021
https://1-qa.t4.l1.cisco.com,1-qa.t4.l1.cisco.com,123test,var22,Test1234,Moses,Allen,Little Caesars,Marketing Manager,CEO / Managing Director, Etc,GMT0,10695 E Northwest Hwy,,Dallas,TX,75238,var22,@www.qa7.l1.cisco.com,7901000022
https://1-qa.t4.l1.cisco.com,1-qa.t4.l1.cisco.com,123test,var23,Test1234,Amadeus,Allen,Loving Hut,Marketing/PR/Advertising,CFO / Finance Director, Arctic,Longyearbyen,107 S 7th Ave,,Sequim,WA,98382,var23,@www.qa7.l1.cisco.com,7901000023
https://1-qa.t4.l1.cisco.com,1-qa.t4.l1.cisco.com,123test,var24,Test1234,Satchel,Allen,Marrybrown,Network Management,CIO / IT Director, Etc,GMT+3,10715  SE 240th St,,Kent,WA,98031,var24,@www.qa7.l1.cisco.com,7901000024
https://1-qa.t4.l1.cisco.com,1-qa.t4.l1.cisco.com,123test,var25,Test1234,Seamus,Allen,McDonald's,Operations/Administration,CXO / Executive, Etc,GMT+4,10720 Preston Rd,,Dallas,TX,75230,var25,@www.qa7.l1.cisco.com,7901000025
https://1-qa.t4.l1.cisco.com,1-qa.t4.l1.cisco.com,123test,var26,Test1234,Ray,Allen,MOS Burger,Operations/Administration - Security,Director / Senior Manager, Etc,GMT+5,108 N Interstate 45 Service Rd,,Hutchins,TX,75141,var26,@www.qa7.l1.cisco.com,7901000026
https://1-qa.t4.l1.cisco.com,1-qa.t4.l1.cisco.com,123test,var27,Test1234,Shannon,Allen,Nando's,Operations Manager,Individual Contributor, Etc,GMT+6,109 Harris Ave,,Red Oak,TX,75154,var27,@www.qa7.l1.cisco.com,7901000027
https://1-qa.t4.l1.cisco.com,1-qa.t4.l1.cisco.com,123test,var28,Test1234,Wynn,Allen,Old Country Buffet,Other,Management with Staff, Etc,GMT+7,10915 Portland Ave E,,Tacoma,WA,98445,var28,@www.qa7.l1.cisco.com,7901000028
https://1-qa.t4.l1.cisco.com,1-qa.t4.l1.cisco.com,123test,var29,Test1234,Ryder,Allen,Olive Garden,Purchasing/Procurement,Management without Staff, Etc,GMT+8,10977  NE State Highway 104,,Kingston,WA,98346,var29,@www.qa7.l1.cisco.com,7901000029
